YearStart,LocationDesc,Question,Number
2010,Missouri,Stroke,43.2
2013,Georgia,Stroke,38.6
2020,North Dakota,Stroke,
2019,California,Stroke,34.9
2016,Missouri,Stroke,39.3
2010,South Carolina,Stroke,43.5
2015,South Carolina,Stroke,46.4
2010,Alabama,Stroke,50.6
2016,Utah,Stroke,
2012,Louisiana,Stroke,59.5
2015,Alaska,Stroke,35.2
2011,Arkansas,Stroke,66.7
2019,Colorado,Stroke,33.0
2016,Kentucky,Stroke,40.4
2015,Oklahoma,Stroke,41.8
2011,North Dakota,Stroke,
2016,Kentucky,Stroke,
2013,Iowa,Stroke,33.3
2016,Alaska,Stroke,
2018,Texas,Stroke,28.4
2020,Idaho,Stroke,
2013,Ohio,Stroke,39.9
2010,Nevada,Stroke,33.5
2013,New Mexico,Stroke,
2012,Nebraska,Stroke,46.5
2011,Texas,Stroke,37.2
2012,Florida,Stroke,30.7
2011,South Dakota,Stroke,
2013,Idaho,Stroke,35.7
2014,Mississippi,Stroke,45.2
2017,Tennessee,Stroke,44.0
2013,Maine,Stroke,33.4
2016,Kansas,Stroke,38.2
2015,Minnesota,Stroke,
2016,Texas,Stroke,41.4
2012,Georgia,Stroke,41.8
2011,Nevada,Stroke,
2013,Massachusetts,Stroke,27.9
2011,North Carolina,Stroke,40.1
2016,North Dakota,Stroke,
2016,New Mexico,Stroke,36.4
2016,Delaware,Stroke,56.9
2012,Utah,Stroke,28.5
2012,Hawaii,Stroke,35.2
2012,Vermont,Stroke,
2011,Pennsylvania,Stroke,26.0
2013,Louisiana,Stroke,41.0
2015,District of Columbia,Stroke,41.3
2017,Georgia,Stroke,41.2
2015,Oklahoma,Stroke,43.0
2020,United States,Stroke,38.8
2011,Alabama,Stroke,
2017,Arkansas,Stroke,
2019,Tennessee,Stroke,39.7
2013,Michigan,Stroke,48.5
2012,Massachusetts,Stroke,28.3
2019,Indiana,Stroke,39.5
2010,District of Columbia,Stroke,30.5
2018,Arkansas,Stroke,
2016,North Carolina,Stroke,44.7
2018,Oregon,Stroke,37.7
2014,Tennessee,Stroke,
2019,Montana,Stroke,28.0
2015,Kentucky,Stroke,40.7
2012,Kansas,Stroke,53.1
2010,Arkansas,Stroke,53.1
2014,New Jersey,Stroke,44.7
2015,Alabama,Stroke,49.4
2018,New York,Stroke,18.7
2010,Indiana,Stroke,
2013,Massachusetts,Stroke,27.7
2013,Hawaii,Stroke,34.4
2015,Maryland,Stroke,
2019,Arizona,Stroke,33.1
2015,New York,Stroke,26.0
2020,Pennsylvania,Stroke,
2011,Oklahoma,Stroke,
2014,Ohio,Stroke,38.9
2018,Alaska,Stroke,52.1
2013,Colorado,Stroke,
2018,Montana,Stroke,
2013,Alaska,Stroke,
2016,Florida,Stroke,37.3
2012,Kentucky,Stroke,44.3
2016,Mississippi,Stroke,54.8
2018,Alabama,Stroke,
2014,Minnesota,Stroke,33.6
2011,Rhode Island,Stroke,27.8
2016,Oregon,Stroke,
2020,Kansas,Stroke,35.4
2020,Alaska,Stroke,31.7
2012,Maine,Stroke,34.3
2016,Arkansas,Stroke,44.3
2012,Michigan,Stroke,37.4
2020,Kentucky,Stroke,42.3
2018,Iowa,Stroke,31.9
2013,Pennsylvania,Stroke,
2011,Vermont,Stroke,
2013,New Hampshire,Stroke,
2020,Montana,Stroke,32.2
2010,Michigan,Stroke,32.2
2020,Maine,Stroke,
2018,Missouri,Stroke,37.0
2019,Arizona,Stroke,22.6
2015,Nevada,Stroke,37.7
2018,New York,Stroke,28.0
2010,North Dakota,Stroke,
2020,Nevada,Stroke,40.3
2011,Maine,Stroke,32.9
2013,Illinois,Stroke,36.7
2012,Missouri,Stroke,
2020,Florida,Stroke,43.5
2019,Oregon,Stroke,32.2
2011,Tennessee,Stroke,
2017,Illinois,Stroke,31.1
2011,Nevada,Stroke,36.6
2014,Iowa,Stroke,32.7
2015,Iowa,Stroke,33.2
2014,Oregon,Stroke,33.4
2010,Tennessee,Stroke,46.6
2011,Idaho,Stroke,
2020,Alabama,Stroke,41.4
2012,Hawaii,Stroke,28.0
2018,Oregon,Stroke,36.9
2015,Texas,Stroke,30.0
2014,California,Stroke,49.0
2020,Kansas,Stroke,36.7
2020,Hawaii,Stroke,35.6
2017,Indiana,Stroke,25.1
2020,Massachusetts,Stroke,23.3
2014,Alabama,Stroke,61.6
2016,Louisiana,Stroke,46.0
2016,Arizona,Stroke,29.8
2013,Alaska,Stroke,43.0
2011,Pennsylvania,Stroke,39.1
2014,Montana,Stroke,35.5
2010,Alaska,Stroke,
2016,Nebraska,Stroke,65.0
2013,Nevada,Stroke,32.8
2011,Kentucky,Stroke,44.0
2017,Maryland,Stroke,21.4
2016,Oklahoma,Stroke,41.8
2016,North Dakota,Stroke,31.7
2013,Oregon,Stroke,
2020,Ohio,Stroke,46.3
2011,Virginia,Stroke,57.5
2017,Pennsylvania,Stroke,29.4
2016,North Carolina,Stroke,34.3
2020,Utah,Stroke,34.1
2011,Kansas,Stroke,38.3
2018,South Carolina,Stroke,47.6
2012,Ohio,Stroke,41.2
2010,Iowa,Stroke,36.4
2016,Montana,Stroke,30.0
2015,New Jersey,Stroke,29.5
2014,North Dakota,Stroke,35.5
2015,Illinois,Stroke,28.0
2014,Illinois,Stroke,36.3
2010,Ohio,Stroke,22.7
2017,Mississippi,Stroke,
2013,Kansas,Stroke,38.1
2012,Montana,Stroke,
2016,California,Stroke,36.9
2016,Ohio,Stroke,39.5
2016,Arkansas,Stroke,45.6
2016,Massachusetts,Stroke,27.9
2011,District of Columbia,Stroke,21.5
2011,Oklahoma,Stroke,47.2
2013,Indiana,Stroke,
2016,Maryland,Stroke,39.7
2015,Kansas,Stroke,
2018,Alabama,Stroke,69.3
2013,Idaho,Stroke,
2016,Maine,Stroke,34.4
2010,Minnesota,Stroke,
2010,New Hampshire,Stroke,33.5
2015,Alaska,Stroke,
2016,New York,Stroke,25.5
2020,Pennsylvania,Stroke,36.7
2011,Montana,Stroke,38.4
2010,Rhode Island,Stroke,
2014,Arizona,Stroke,44.4
2018,Louisiana,Stroke,42.6
2018,New Mexico,Stroke,30.3
2016,New Jersey,Stroke,44.4
2013,Ohio,Stroke,
2012,Alaska,Stroke,42.5
2014,Mississippi,Stroke,
2010,Montana,Stroke,
2020,Vermont,Stroke,
2015,Minnesota,Stroke,35.0
2012,New Jersey,Stroke,49.4
2017,Iowa,Stroke,
2012,Texas,Stroke,42.1
2011,Iowa,Stroke,
2010,Illinois,Stroke,40.2
2015,Idaho,Stroke,
2012,North Dakota,Stroke,
2014,Vermont,Stroke,32.0
2011,Hawaii,Stroke,
2017,District of Columbia,Stroke,
2011,Delaware,Stroke,40.7
2013,Arizona,Stroke,27.7
2020,Nebraska,Stroke,33.7
2010,Nevada,Stroke,29.0
2018,Virginia,Stroke,23.5
2019,Georgia,Stroke,42.2
2011,Georgia,Stroke,54.1
2011,Florida,Stroke,30.0
2015,Louisiana,Stroke,47.9
2013,Mississippi,Stroke,46.0
2019,Minnesota,Stroke,32.4
2013,Vermont,Stroke,31.8
2012,New York,Stroke,
2017,Tennessee,Stroke,22.6
2013,Colorado,Stroke,32.0
2014,Missouri,Stroke,40.4
2011,North Dakota,Stroke,36.1
2015,Maryland,Stroke,39.3
2015,Florida,Stroke,
2016,Connecticut,Stroke,26.2
2013,New York,Stroke,26.3
2017,Nevada,Stroke,26.7
2019,Nevada,Stroke,56.6
2016,North Carolina,Stroke,40.3
2011,Virginia,Stroke,38.9
2017,Michigan,Stroke,35.9
2014,Connecticut,Stroke,25.6
2019,Virginia,Stroke,37.4
2019,Oklahoma,Stroke,25.5
2011,New Jersey,Stroke,35.5
2011,Utah,Stroke,17.4
2016,District of Columbia,Stroke,
2013,Oklahoma,Stroke,43.3
2016,Virginia,Stroke,38.4
2011,Iowa,Stroke,
2017,Ohio,Stroke,28.8
2013,Kansas,Stroke,
2011,Mississippi,Stroke,50.6
2014,Tennessee,Stroke,43.7
2013,Hawaii,Stroke,34.8
2011,Louisiana,Stroke,47.7
2020,California,Stroke,37.2
2010,Arkansas,Stroke,
2016,Kansas,Stroke,38.0
2014,Virginia,Stroke,37.2
2016,Oklahoma,Stroke,
2017,Arizona,Stroke,30.6
2020,North Carolina,Stroke,24.5
2012,Iowa,Stroke,
2011,South Carolina,Stroke,
2015,Nevada,Stroke,35.8
2016,Hawaii,Stroke,30.8
2013,Utah,Stroke,
2012,Hawaii,Stroke,37.1
2019,Alabama,Stroke,
2013,South Dakota,Stroke,
2017,Nebraska,Stroke,31.5
2017,New Jersey,Stroke,23.0
2011,Maryland,Stroke,36.8
2019,New York,Stroke,23.7
2018,Pennsylvania,Stroke,34.6
2012,Oklahoma,Stroke,40.6
2016,Colorado,Stroke,34.1
2014,Indiana,Stroke,42.4
2016,Maryland,Stroke,24.6
2014,New Jersey,Stroke,
2012,Vermont,Stroke,37.9
2013,Massachusetts,Stroke,27.8
2015,District of Columbia,Stroke,28.0
2012,California,Stroke,33.8
2012,Oregon,Stroke,41.0
2013,Louisiana,Stroke,
2014,Illinois,Stroke,38.1
2012,Illinois,Stroke,25.4
2016,Massachusetts,Stroke,27.2
2018,Connecticut,Stroke,27.6
2012,Nebraska,Stroke,34.8
2020,Delaware,Stroke,
2020,Arkansas,Stroke,
2018,Rhode Island,Stroke,28.2
2019,Pennsylvania,Stroke,
2017,Florida,Stroke,35.5
2016,Nebraska,Stroke,
2016,Louisiana,Stroke,60.5
2012,Alabama,Stroke,
2010,Mississippi,Stroke,
2014,New Hampshire,Stroke,
2017,Alaska,Stroke,31.5
2012,North Carolina,Stroke,54.4
2015,Utah,Stroke,37.4
2013,Oklahoma,Stroke,
2017,Missouri,Stroke,61.6
2020,Missouri,Stroke,21.8
2016,California,Stroke,32.9
2016,Maine,Stroke,
2013,Vermont,Stroke,
2010,South Dakota,Stroke,
2013,Tennessee,Stroke,
2015,Iowa,Stroke,
2015,Pennsylvania,Stroke,50.5
2018,Colorado,Stroke,
2012,Massachusetts,Stroke,34.2
2017,North Carolina,Stroke,19.8
2016,Utah,Stroke,48.6
2010,New Mexico,Stroke,
2017,Oklahoma,Stroke,42.6
2020,Connecticut,Stroke,
2012,Idaho,Stroke,
2012,New Hampshire,Stroke,
2015,Rhode Island,Stroke,27.1
2015,South Dakota,Stroke,
2016,Missouri,Stroke,
2012,Utah,Stroke,48.8
2013,Montana,Stroke,
2020,New Hampshire,Stroke,30.1
2012,Utah,Stroke,38.8
2011,Virginia,Stroke,
2017,Colorado,Stroke,35.8
2011,North Carolina,Stroke,43.2
2020,North Dakota,Stroke,
2013,North Carolina,Stroke,41.2
2012,Arkansas,Stroke,
2012,Maine,Stroke,
2012,Oregon,Stroke,36.2
2013,Maine,Stroke,33.6
2015,South Dakota,Stroke,33.2
2018,Montana,Stroke,29.8
2015,Colorado,Stroke,35.2
2011,Maryland,Stroke,
2016,Kentucky,Stroke,40.8
2014,Minnesota,Stroke,56.4
2010,Idaho,Stroke,39.0
2015,Indiana,Stroke,39.5
2012,Connecticut,Stroke,23.7
2010,Delaware,Stroke,
2020,Ohio,Stroke,40.6
2015,New Jersey,Stroke,32.7
2016,Kansas,Stroke,52.3
2017,Montana,Stroke,
2010,Iowa,Stroke,39.5
2017,North Carolina,Stroke,43.0
2020,South Dakota,Stroke,32.8
2017,Kentucky,Stroke,
2010,Virginia,Stroke,33.7
2018,Mississippi,Stroke,54.0
2014,Oklahoma,Stroke,59.8
2015,Iowa,Stroke,53.2
2020,Tennessee,Stroke,45.9
2018,Nevada,Stroke,36.6
2011,Georgia,Stroke,
2015,Delaware,Stroke,37.7
2020,Oregon,Stroke,40.5
2015,Michigan,Stroke,35.1
2020,South Carolina,Stroke,47.7
2011,Vermont,Stroke,29.4
2015,Florida,Stroke,34.9
2013,Idaho,Stroke,35.4
2013,Utah,Stroke,37.9
2014,New York,Stroke,29.2
2012,Colorado,Stroke,35.2
2010,New Jersey,Stroke,
2014,Idaho,Stroke,37.1
2020,Connecticut,Stroke,28.4
2019,North Dakota,Stroke,
2019,South Carolina,Stroke,40.4
2017,Delaware,Stroke,
2017,Utah,Stroke,36.2
2016,New Jersey,Stroke,
2019,Missouri,Stroke,36.8
2017,Idaho,Stroke,
2012,Kentucky,Stroke,44.2
2020,Utah,Stroke,
2015,Georgia,Stroke,
2010,North Dakota,Stroke,42.9
2012,Minnesota,Stroke,36.7
2016,Rhode Island,Stroke,26.0
2016,Nebraska,Stroke,31.9
2019,United States,Stroke,37.0
2017,Pennsylvania,Stroke,36.2
2013,Illinois,Stroke,23.0
2019,Idaho,Stroke,
2019,Massachusetts,Stroke,23.8
2012,Arizona,Stroke,50.9
2016,Massachusetts,Stroke,36.0
2020,Virginia,Stroke,24.3
2011,Indiana,Stroke,
2013,Mississippi,Stroke,
2015,Hawaii,Stroke,33.6
2010,North Carolina,Stroke,44.5
2010,New York,Stroke,28.1
2012,Mississippi,Stroke,44.2
2015,Georgia,Stroke,43.1
2013,New Hampshire,Stroke,29.3
2018,South Dakota,Stroke,
2018,Alaska,Stroke,63.4
2015,Vermont,Stroke,39.5
2016,Idaho,Stroke,
2020,Minnesota,Stroke,47.4
2010,Hawaii,Stroke,39.8
2014,New York,Stroke,25.9
2019,Connecticut,Stroke,23.9
2018,Kansas,Stroke,
2014,Hawaii,Stroke,32.8
2019,Utah,Stroke,34.7
2015,Tennessee,Stroke,43.7
2018,Indiana,Stroke,
2017,Virginia,Stroke,18.6
2017,Michigan,Stroke,37.7
2010,South Carolina,Stroke,47.9
2014,Ohio,Stroke,26.6
2018,Rhode Island,Stroke,
2019,Arkansas,Stroke,38.4
2017,Indiana,Stroke,
2018,Oklahoma,Stroke,39.7
2018,Maryland,Stroke,40.8
2018,North Dakota,Stroke,
2016,Oregon,Stroke,37.0
2016,Pennsylvania,Stroke,29.7
2020,Arizona,Stroke,31.0
2012,Minnesota,Stroke,31.5
2015,Hawaii,Stroke,
2014,Florida,Stroke,32.6
2018,New Hampshire,Stroke,
2014,Iowa,Stroke,35.5
2017,Rhode Island,Stroke,29.1
2019,District of Columbia,Stroke,37.4
2020,Alabama,Stroke,50.1
2014,Hawaii,Stroke,35.2
2018,Arizona,Stroke,31.0
2017,New Hampshire,Stroke,30.7
2016,Connecticut,Stroke,
2020,South Dakota,Stroke,33.9
2016,Maine,Stroke,
2019,Hawaii,Stroke,
2012,Massachusetts,Stroke,28.0
2015,Arkansas,Stroke,
2011,Rhode Island,Stroke,29.4
2013,Rhode Island,Stroke,28.9
2020,Mississippi,Stroke,50.4
2016,Hawaii,Stroke,
2012,New Jersey,Stroke,19.9
2012,Delaware,Stroke,
2013,Iowa,Stroke,
2014,Missouri,Stroke,33.7
2014,Rhode Island,Stroke,
2015,New Hampshire,Stroke,
2020,Colorado,Stroke,50.2
2020,Texas,Stroke,36.6
2015,Florida,Stroke,56.7
2019,Maryland,Stroke,41.8
2010,Pennsylvania,Stroke,39.3
2012,District of Columbia,Stroke,
2016,Tennessee,Stroke,21.6
2019,New Mexico,Stroke,30.8
2013,Michigan,Stroke,36.6
2010,Michigan,Stroke,39.5
2013,North Dakota,Stroke,32.9
2014,Alabama,Stroke,45.4
2018,Mississippi,Stroke,48.9
2010,Delaware,Stroke,
2010,New Hampshire,Stroke,
2010,Oklahoma,Stroke,47.5
2016,Iowa,Stroke,33.0
2019,Illinois,Stroke,31.0
2013,Texas,Stroke,
2019,Alaska,Stroke,32.0
2012,Idaho,Stroke,
2020,New Mexico,Stroke,35.4
2013,Nebraska,Stroke,35.8
2015,District of Columbia,Stroke,
2020,District of Columbia,Stroke,
2016,Georgia,Stroke,42.4
2020,Nebraska,Stroke,
2015,Georgia,Stroke,53.4
2015,Montana,Stroke,31.3
2014,Ohio,Stroke,40.0
2014,California,Stroke,33.7
2020,New York,Stroke,23.6
2019,Virginia,Stroke,23.6
2015,Vermont,Stroke,
2012,Kansas,Stroke,38.8
2019,Michigan,Stroke,38.2
2013,District of Columbia,Stroke,27.9
2014,Oregon,Stroke,25.7
2011,Connecticut,Stroke,26.3
2012,Florida,Stroke,25.2
2011,Kentucky,Stroke,
2010,Massachusetts,Stroke,30.6
2015,Idaho,Stroke,35.7
2011,Hawaii,Stroke,33.3
2014,South Carolina,Stroke,46.0
2017,Virginia,Stroke,
2015,Tennessee,Stroke,
2014,Colorado,Stroke,
2018,Utah,Stroke,36.0
2019,Oregon,Stroke,39.5
2014,Arkansas,Stroke,43.9
2019,Pennsylvania,Stroke,32.2
2019,Alaska,Stroke,
2010,Arizona,Stroke,34.7
2012,Arkansas,Stroke,49.1
2020,Mississippi,Stroke,
2019,Kansas,Stroke,33.0
2011,Nebraska,Stroke,38.7
2019,Maryland,Stroke,52.0
2012,South Carolina,Stroke,
2010,Utah,Stroke,34.1
2020,Indiana,Stroke,40.3
2012,Tennessee,Stroke,
2014,New Mexico,Stroke,33.3
2010,South Carolina,Stroke,50.4
2013,Minnesota,Stroke,
2018,Idaho,Stroke,
2019,Maine,Stroke,31.4
2019,Michigan,Stroke,36.7
2010,Tennessee,Stroke,
2014,Nevada,Stroke,33.8
2019,Louisiana,Stroke,62.1
2010,Missouri,Stroke,
2019,Montana,Stroke,28.8
2017,Massachusetts,Stroke,25.5
2013,Indiana,Stroke,32.0
2018,Kentucky,Stroke,
2015,South Carolina,Stroke,
2014,Pennsylvania,Stroke,36.9
2018,Maryland,Stroke,51.9
2019,North Carolina,Stroke,41.5
2010,Colorado,Stroke,41.8
2010,Kentucky,Stroke,43.2
2017,Oregon,Stroke,
2011,Georgia,Stroke,39.6
2011,South Dakota,Stroke,
2016,Oregon,Stroke,37.7
2017,New York,Stroke,23.4
2010,Illinois,Stroke,38.0
2011,Colorado,Stroke,34.3
2018,New Mexico,Stroke,29.3
2019,Tennessee,Stroke,43.6
2014,Michigan,Stroke,37.9
2015,Maine,Stroke,29.7
2020,Nevada,Stroke,41.0
2016,Florida,Stroke,36.2
2012,North Carolina,Stroke,40.8
2011,Tennessee,Stroke,45.4
2011,Mississippi,Stroke,
2019,Delaware,Stroke,52.3
2014,New Mexico,Stroke,33.8
2018,Texas,Stroke,40.3
2011,California,Stroke,36.0
2019,Nebraska,Stroke,31.5
2018,New York,Stroke,
2015,New Mexico,Stroke,33.9
2017,Arkansas,Stroke,42.0
2016,Delaware,Stroke,
2017,Oklahoma,Stroke,43.6
2019,Minnesota,Stroke,33.2
2020,Illinois,Stroke,40.9
2014,Utah,Stroke,29.0
2020,Oklahoma,Stroke,38.0
2014,North Dakota,Stroke,
2016,Illinois,Stroke,35.7
2018,Virginia,Stroke,40.4
2018,North Carolina,Stroke,41.3
2019,Rhode Island,Stroke,26.9
2017,Louisiana,Stroke,46.0
2013,North Carolina,Stroke,40.1
2020,Georgia,Stroke,40.6
2014,Montana,Stroke,
2015,New Hampshire,Stroke,
2011,Florida,Stroke,50.3
2016,South Carolina,Stroke,25.0
2020,Alaska,Stroke,
2017,Georgia,Stroke,
2011,Virginia,Stroke,42.2
2019,Florida,Stroke,41.0
2011,New York,Stroke,30.2
2014,Connecticut,Stroke,26.9
2019,New Hampshire,Stroke,28.6
2019,New York,Stroke,25.2
2015,Minnesota,Stroke,33.5
2020,Virginia,Stroke,39.9
2018,Georgia,Stroke,43.4
2014,Georgia,Stroke,25.7
2019,Indiana,Stroke,40.7
2012,Idaho,Stroke,
2011,North Dakota,Stroke,
2011,Pennsylvania,Stroke,39.3
2010,Maryland,Stroke,33.9
2017,New Mexico,Stroke,34.7
2014,Rhode Island,Stroke,
2017,South Dakota,Stroke,47.7
2010,Nevada,Stroke,
2016,Montana,Stroke,34.4
2019,Delaware,Stroke,
2011,Michigan,Stroke,39.1
2016,Texas,Stroke,42.0
2016,Montana,Stroke,32.5
2016,Oregon,Stroke,37.8
2015,Kansas,Stroke,34.0
2017,Michigan,Stroke,19.4
2011,Maryland,Stroke,48.6
2016,New Hampshire,Stroke,
2014,Florida,Stroke,33.0
2018,Indiana,Stroke,25.6
2014,Alabama,Stroke,45.1
2016,North Dakota,Stroke,32.7
2018,Texas,Stroke,38.7
2015,Pennsylvania,Stroke,38.2
2012,Michigan,Stroke,52.9
2015,Ohio,Stroke,50.4
2014,Iowa,Stroke,
2014,Georgia,Stroke,42.6
2010,Rhode Island,Stroke,
2020,Arkansas,Stroke,42.1
2015,Nebraska,Stroke,34.6
2020,Oklahoma,Stroke,27.7
2016,South Dakota,Stroke,37.9
2011,Massachusetts,Stroke,31.9
2010,Minnesota,Stroke,44.4
2013,North Carolina,Stroke,55.2
2017,Illinois,Stroke,
2017,Nebraska,Stroke,
2010,Nebraska,Stroke,
2016,Illinois,Stroke,36.6
2011,Delaware,Stroke,36.9
2011,Louisiana,Stroke,57.6
2010,South Dakota,Stroke,
2012,Tennessee,Stroke,
2018,Illinois,Stroke,30.2
2017,District of Columbia,Stroke,
2011,Montana,Stroke,
2013,New Mexico,Stroke,
2012,Maryland,Stroke,
2020,Montana,Stroke,29.2
2012,Maine,Stroke,
2012,Illinois,Stroke,
2020,Iowa,Stroke,39.8
2018,New Jersey,Stroke,32.4
2016,Nevada,Stroke,35.2
2013,Connecticut,Stroke,28.3
2020,Connecticut,Stroke,30.4
2013,Florida,Stroke,31.6
2016,Louisiana,Stroke,44.9
2019,District of Columbia,Stroke,
2012,North Dakota,Stroke,36.5
2010,Virginia,Stroke,42.1
2014,District of Columbia,Stroke,33.6
2011,Missouri,Stroke,42.5
2011,Alaska,Stroke,39.4
2014,Georgia,Stroke,39.7
2014,Delaware,Stroke,38.8
2017,Nevada,Stroke,
2012,Iowa,Stroke,
2011,Arkansas,Stroke,
2015,Arkansas,Stroke,
2019,Alabama,Stroke,48.7
2013,United States,Stroke,36.2
2020,Alabama,Stroke,
2013,South Dakota,Stroke,37.9
2015,Vermont,Stroke,31.5
2014,Tennessee,Stroke,43.4
2011,Utah,Stroke,
2011,Maine,Stroke,
2014,Hawaii,Stroke,34.7
2016,Michigan,Stroke,34.0
2018,Nebraska,Stroke,
2020,Florida,Stroke,65.0
2020,Arizona,Stroke,45.3
2016,North Carolina,Stroke,56.3
2013,Oklahoma,Stroke,44.4
2013,South Carolina,Stroke,47.6
2016,Alabama,Stroke,52.9
2016,Oregon,Stroke,37.6
2010,Kentucky,Stroke,
2020,Illinois,Stroke,73.6
2016,Arkansas,Stroke,45.8
2020,Missouri,Stroke,41.5
2012,North Carolina,Stroke,41.6
2020,California,Stroke,42.1
2015,Maine,Stroke,32.6
2014,Nevada,Stroke,33.7
2011,Minnesota,Stroke,
2019,Hawaii,Stroke,31.4
2014,Arizona,Stroke,29.2
2013,Utah,Stroke,35.8
2010,Utah,Stroke,
2018,Idaho,Stroke,26.9
2019,Ohio,Stroke,40.2
2014,Indiana,Stroke,50.5
2015,North Carolina,Stroke,44.5
2020,Idaho,Stroke,37.4
2010,Massachusetts,Stroke,30.8
2018,Connecticut,Stroke,24.3
2012,Oklahoma,Stroke,45.7
2016,Maryland,Stroke,38.5
2010,New Jersey,Stroke,31.8
2013,Delaware,Stroke,37.0
2011,New Jersey,Stroke,25.3
2010,Kentucky,Stroke,44.1
2015,Montana,Stroke,
2014,Virginia,Stroke,37.0
2017,Missouri,Stroke,40.2
2018,Iowa,Stroke,
2010,Louisiana,Stroke,
2016,California,Stroke,37.2
2013,District of Columbia,Stroke,
2011,Arizona,Stroke,29.1
2016,Louisiana,Stroke,45.8
2015,Alabama,Stroke,
2018,Iowa,Stroke,
2018,Nebraska,Stroke,30.6
2017,Arkansas,Stroke,
2010,Louisiana,Stroke,44.9
2011,Alabama,Stroke,
2015,Kentucky,Stroke,
2014,South Carolina,Stroke,39.1
2019,Arizona,Stroke,29.2
2010,Virginia,Stroke,39.0
2010,Tennessee,Stroke,48.2
2017,Missouri,Stroke,
2017,Massachusetts,Stroke,33.2
2016,Ohio,Stroke,39.8
2018,Mississippi,Stroke,51.8
2014,Hawaii,Stroke,33.9
2017,Kentucky,Stroke,39.5
2018,Virginia,Stroke,21.2
2015,Missouri,Stroke,39.3
2019,South Dakota,Stroke,32.4
2011,Missouri,Stroke,41.3
2016,Kansas,Stroke,37.4
2014,Delaware,Stroke,37.3
2017,Rhode Island,Stroke,
2015,Mississippi,Stroke,
2016,Rhode Island,Stroke,
2020,Indiana,Stroke,20.4
2019,North Dakota,Stroke,
2010,Florida,Stroke,54.0
2010,Indiana,Stroke,44.5
2012,North Dakota,Stroke,
2010,Maine,Stroke,35.2
2010,Delaware,Stroke,48.7
2015,Oregon,Stroke,35.0
2020,Vermont,Stroke,
2014,New Jersey,Stroke,31.4
2019,New Jersey,Stroke,29.6
2016,New Jersey,Stroke,29.4
2014,North Dakota,Stroke,33.9
2017,Delaware,Stroke,41.9
2016,Mississippi,Stroke,61.0
2013,New Hampshire,Stroke,
2019,Kentucky,Stroke,
2010,Maryland,Stroke,38.5
2010,North Dakota,Stroke,42.9
2017,Louisiana,Stroke,63.7
2017,Pennsylvania,Stroke,34.9
2017,North Carolina,Stroke,44.3
2014,Montana,Stroke,38.1
2017,Arkansas,Stroke,64.5
2014,Florida,Stroke,24.6
2012,Oklahoma,Stroke,62.0
2017,New Jersey,Stroke,
2014,District of Columbia,Stroke,41.2
2020,Nevada,Stroke,25.5
2017,Kansas,Stroke,
2013,Delaware,Stroke,
2013,Montana,Stroke,
2017,Arizona,Stroke,30.8
2019,Texas,Stroke,40.6
2019,North Carolina,Stroke,43.5
2015,Pennsylvania,Stroke,37.8
2016,North Dakota,Stroke,
2020,South Carolina,Stroke,28.6
2020,Minnesota,Stroke,32.1
2016,Texas,Stroke,41.4
2011,Idaho,Stroke,37.2
2012,Hawaii,Stroke,
2010,Georgia,Stroke,60.3
2015,Connecticut,Stroke,32.5
2011,Vermont,Stroke,
2020,Pennsylvania,Stroke,32.3
2010,Idaho,Stroke,
2010,Arkansas,Stroke,
2010,Alaska,Stroke,38.6
2012,Nebraska,Stroke,35.2
2013,Tennessee,Stroke,
2017,Kansas,Stroke,48.6
2014,New York,Stroke,
2019,Colorado,Stroke,31.5
2010,North Carolina,Stroke,44.7
2017,Alabama,Stroke,50.0
2010,Georgia,Stroke,46.4
2017,Kansas,Stroke,37.0
2014,Connecticut,Stroke,25.6
2013,Mississippi,Stroke,
2014,Indiana,Stroke,41.7
2019,Pennsylvania,Stroke,33.4
2010,Mississippi,Stroke,50.4
2017,Alaska,Stroke,
2019,Minnesota,Stroke,45.1
2019,Iowa,Stroke,30.9
2019,Georgia,Stroke,26.1
2016,Vermont,Stroke,
2017,Alaska,Stroke,31.5
2019,Nebraska,Stroke,
2011,Alabama,Stroke,49.4
2019,Florida,Stroke,
2020,District of Columbia,Stroke,23.7
2018,Michigan,Stroke,30.0
2013,Georgia,Stroke,33.0
2017,Alabama,Stroke,61.5
2017,New Hampshire,Stroke,28.9
2017,Virginia,Stroke,35.8
2011,Arkansas,Stroke,50.6
2010,Kansas,Stroke,41.2
2011,Kansas,Stroke,39.5
2020,Delaware,Stroke,
2010,Utah,Stroke,38.5
2020,Tennessee,Stroke,14.9
2013,New Hampshire,Stroke,27.6
2017,Kentucky,Stroke,44.1
2020,Massachusetts,Stroke,
2018,Arizona,Stroke,34.4
2018,Florida,Stroke,39.6
2016,New Mexico,Stroke,34.7
2018,Rhode Island,Stroke,
2020,Iowa,Stroke,
2018,Maryland,Stroke,39.2
2010,Oregon,Stroke,39.9
2018,California,Stroke,34.2
2012,Utah,Stroke,
2012,Michigan,Stroke,31.6
2018,Kansas,Stroke,35.9
2015,Delaware,Stroke,38.5
2013,Colorado,Stroke,33.3
2018,Tennessee,Stroke,21.8
2016,Nevada,Stroke,28.1
2015,Kansas,Stroke,38.6
2016,Maine,Stroke,35.3
2011,Ohio,Stroke,25.3
2013,Oklahoma,Stroke,43.8
2013,Iowa,Stroke,33.3
